theta(degree),Height(m),v0(m/s),t(s),x(m),label,label2
49,1.9,13,2.167,18.482,,
35,1.9,13,1.728,18.401,,
50,1.9,13,2.195,18.342,,
34,1.9,13,1.694,18.257,,
33,1.9,13,1.66,18.099,,
32,1.9,13,1.625,17.921,,
31,1.9,13,1.59,17.723,,
30,1.9,13,1.556,17.518,,
42,1.9,12,1.833,16.351,,
41,1.9,12,1.804,16.342,,
43,1.9,12,1.862,16.341,,
40,1.9,12,1.775,16.317,,
44,1.9,12,1.89,16.315,,
39,1.9,12,1.745,16.278,,
45,1.9,12,1.917,16.271,,
38,1.9,12,1.715,16.222,,
46,1.9,12,1.945,16.213,,
37,1.9,12,1.685,16.153,,
47,1.9,12,1.972,16.139,,
36,1.9,12,1.655,16.067,,
48,1.9,12,1.998,16.047,,
35,1.9,12,1.624,15.969,,
49,1.9,12,2.024,15.938,,
34,1.9,12,1.593,15.853,,
50,1.9,12,2.05,15.813,,
33,1.9,12,1.562,15.72,,
32,1.9,12,1.531,15.58,,
31,1.9,12,1.499,15.424,,
30,1.9,12,1.467,15.251,,
41,1.9,11,1.684,13.984,,
42,1.9,11,1.71,13.983,,
40,1.9,11,1.658,13.971,,
43,1.9,11,1.736,13.97,,
39,1.9,11,1.631,13.947,,
44,1.9,11,1.762,13.942,,
38,1.9,11,1.604,13.908,,
45,1.9,11,1.787,13.9,,
37,1.9,11,1.577,13.854,,
46,1.9,11,1.811,13.842,,
36,1.9,11,1.55,13.794,,
47,1.9,11,1.836,13.774,,
35,1.9,11,1.522,13.714,,
48,1.9,11,1.86,13.69,,
34,1.9,11,1.494,13.624,,
49,1.9,11,1.883,13.593,,
33,1.9,11,1.466,13.524,,
50,1.9,11,1.907,13.484,,
32,1.9,11,1.438,13.414,,
31,1.9,11,1.409,13.29,,
30,1.9,11,1.381,13.156,,
41,1.9,10,1.566,11.823,,
40,1.9,10,1.543,11.82,,
42,1.9,10,1.59,11.816,,
39,1.9,10,1.519,11.805,,
43,1.9,10,1.613,11.797,,
38,1.9,10,1.495,11.781,,
44,1.9,10,1.636,11.768,,
37,1.9,10,1.471,11.748,,
45,1.9,10,1.658,11.724,,
36,1.9,10,1.446,11.702,,
46,1.9,10,1.68,11.674,,
35,1.9,10,1.421,11.644,,
47,1.9,10,1.702,11.608,,
34,1.9,10,1.396,11.578,,
48,1.9,10,1.723,11.532,,
33,1.9,10,1.371,11.502,,
49,1.9,10,1.744,11.445,,
32,1.9,10,1.346,11.419,,
50,1.9,10,1.765,11.348,,
31,1.9,10,1.321,11.323,,
30,1.9,10,1.296,11.224,,
40,1.9,9,1.43,9.859,,
41,1.9,9,1.451,9.856,,
39,1.9,9,1.409,9.855,,
38,1.9,9,1.388,9.844,,
42,1.9,9,1.471,9.842,,
37,1.9,9,1.366,9.822,,
43,1.9,9,1.492,9.821,,
36,1.9,9,1.345,9.793,,
44,1.9,9,1.512,9.789,,
35,1.9,9,1.323,9.754,,
45,1.9,9,1.531,9.746,,
34,1.9,9,1.301,9.711,,
46,1.9,9,1.551,9.7,,
33,1.9,9,1.279,9.658,,
47,1.9,9,1.57,9.64,,
32,1.9,9,1.257,9.594,,
48,1.9,9,1.589,9.572,,
31,1.9,9,1.235,9.527,,
49,1.9,9,1.608,9.494,,
30,1.9,9,1.212,9.451,,
50,1.9,9,1.626,9.409,,
43,1.8,14,2.108,21.584,1,
42,1.8,14,2.074,21.578,,
44,1.8,14,2.141,21.567,,
41,1.8,14,2.039,21.549,,
45,1.8,14,2.175,21.531,,
40,1.8,14,2.004,21.498,,
46,1.8,14,2.207,21.468,,
39,1.8,14,1.969,21.423,,
47,1.8,14,2.239,21.383,,
38,1.8,14,1.933,21.325,,
48,1.8,14,2.271,21.279,,
37,1.8,14,1.897,21.21,,
49,1.8,14,2.302,21.148,,
36,1.8,14,1.86,21.067,,
50,1.8,14,2.333,20.995,,
35,1.8,14,1.823,20.912,,
34,1.8,14,1.786,20.729,,
33,1.8,14,1.748,20.53,,
32,1.8,14,1.71,20.308,,
31,1.8,14,1.672,20.071,,
30,1.8,14,1.634,19.817,,
43,1.8,13,1.979,18.82,,
42,1.8,13,1.948,18.819,,
44,1.8,13,2.01,18.801,,
41,1.8,13,1.916,18.798,,
40,1.8,13,1.884,18.762,,
45,1.8,13,2.041,18.762,,
39,1.8,13,1.851,18.706,,
